,Symbols
0,BTC-USD
1,ETH-USD
2,USDT-USD
3,BNB-USD
4,USDC-USD
5,XRP-USD
6,ADA-USD
7,HEX-USD
8,STETH-USD
9,DOGE-USD
10,SOL-USD
11,MATIC-USD
12,WTRX-USD
13,DOT-USD
14,TRX-USD
15,LTC-USD
16,BUSD-USD
17,SHIB-USD
18,AVAX-USD
19,DAI-USD
20,WBTC-USD
21,LEO-USD
22,LINK-USD
23,ATOM-USD
24,UNI7083-USD
25,XMR-USD
26,OKB-USD
27,ETC-USD
28,TON11419-USD
29,XLM-USD
30,BCH-USD
31,ICP-USD
32,CNX-USD
33,TUSD-USD
34,FIL-USD
35,HBAR-USD
36,WHBAR-USD
37,CRO-USD
38,APT21794-USD
39,LDO-USD
40,BTCB-USD
41,NEAR-USD
42,ARB11841-USD
43,VET-USD
44,QNT-USD
45,APE18876-USD
46,ALGO-USD
47,USDP-USD
48,FTM-USD
49,GRT6719-USD
