"","Symbol","GICS.Sector"
"14","A","Health Care"
"31","AAL","Industrials"
"11","AAP","Consumer Discretionary"
"46","AAPL","Information Technology"
"4","ABBV","Health Care"
"38","ABC","Health Care"
"5","ABMD","Health Care"
"3","ABT","Health Care"
"6","ACN","Information Technology"
"9","ADBE","Information Technology"
"42","ADI","Information Technology"
"8","ADM","Consumer Staples"
"10","ADP","Information Technology"
"54","ADSK","Information Technology"
"30","AEE","Utilities"
"32","AEP","Utilities"
"12","AES","Utilities"
"13","AFL","Financials"
"34","AIG","Financials"
"51","AIZ","Financials"
"50","AJG","Financials"
"16","AKAM","Information Technology"
"18","ALB","Materials"
"20","ALGN","Health Care"
"17","ALK","Industrials"
"23","ALL","Financials"
"21","ALLE","Industrials"
"47","AMAT","Information Technology"
"28","AMCR","Materials"
"29","AMD","Information Technology"
"39","AME","Industrials"
"40","AMGN","Health Care"
"37","AMP","Financials"
"35","AMT","Real Estate"
"27","AMZN","Consumer Discretionary"
"49","ANET","Information Technology"
"43","ANSS","Information Technology"
"44","AON","Financials"
"2","AOS","Industrials"
"45","APA","Energy"
"15","APD","Materials"
"41","APH","Information Technology"
"48","APTV","Consumer Discretionary"
"19","ARE","Real Estate"
"53","ATO","Utilities"
"7","ATVI","Communication Services"
"56","AVB","Real Estate"
"78","AVGO","Information Technology"
"57","AVY","Materials"
"36","AWK","Utilities"
"33","AXP","Financials"
"55","AZO","Consumer Discretionary"
"72","BA","Industrials"
"60","BAC","Financials"
"59","BALL","Materials"
"62","BAX","Health Care"
"61","BBWI","Consumer Discretionary"
"66","BBY","Consumer Discretionary"
"63","BDX","Health Care"
"210","BEN","Financials"
"81","BF.B","Consumer Staples"
"69","BIIB","Health Care"
"67","BIO","Health Care"
"71","BK","Financials"
"73","BKNG","Consumer Discretionary"
"58","BKR","Energy"
"70","BLK","Financials"
"77","BMY","Health Care"
"79","BR","Information Technology"
"65","BRK.B","Financials"
"80","BRO","Financials"
"76","BSX","Health Care"
"74","BWA","Consumer Discretionary"
"75","BXP","Real Estate"
"113","C","Financials"
"124","CAG","Consumer Staples"
"88","CAH","Health Care"
"91","CARR","Industrials"
"93","CAT","Industrials"
"107","CB","Financials"
"94","CBOE","Financials"
"95","CBRE","Real Estate"
"135","CCI","Real Estate"
"90","CCL","Consumer Discretionary"
"100","CDAY","Information Technology"
"83","CDNS","Information Technology"
"96","CDW","Information Technology"
"97","CE","Materials"
"128","CEG","Utilities"
"101","CF","Materials"
"114","CFG","Financials"
"108","CHD","Consumer Staples"
"82","CHRW","Industrials"
"104","CHTR","Communication Services"
"109","CI","Health Care"
"110","CINF","Financials"
"121","CL","Consumer Staples"
"116","CLX","Consumer Staples"
"123","CMA","Financials"
"122","CMCSA","Communication Services"
"117","CME","Financials"
"106","CMG","Consumer Discretionary"
"137","CMI","Industrials"
"118","CMS","Utilities"
"98","CNC","Health Care"
"99","CNP","Utilities"
"87","COF","Financials"
"129","COO","Health Care"
"125","COP","Energy"
"133","COST","Consumer Staples"
"86","CPB","Consumer Staples"
"130","CPRT","Industrials"
"85","CPT","Real Estate"
"102","CRL","Health Care"
"410","CRM","Information Technology"
"112","CSCO","Information Technology"
"136","CSX","Industrials"
"111","CTAS","Industrials"
"92","CTLT","Health Care"
"134","CTRA","Energy"
"120","CTSH","Information Technology"
"132","CTVA","Materials"
"115","CTXS","Information Technology"
"138","CVS","Health Care"
"105","CVX","Energy"
"84","CZR","Consumer Discretionary"
"155","D","Utilities"
"144","DAL","Industrials"
"162","DD","Materials"
"143","DE","Industrials"
"150","DFS","Financials"
