"","Symbol","GICS.Sector"
"12","A","Health Care"
"29","AAL","Industrials"
"9","AAP","Consumer Discretionary"
"47","AAPL","Information Technology"
"3","ABBV","Health Care"
"36","ABC","Health Care"
"4","ABMD","Health Care"
"2","ABT","Health Care"
"5","ACN","Information Technology"
"7","ADBE","Information Technology"
"40","ADI","Information Technology"
"50","ADM","Consumer Staples"
"57","ADP","Information Technology"
"56","ADSK","Information Technology"
"28","AEE","Utilities"
"30","AEP","Utilities"
"10","AES","Utilities"
"11","AFL","Financials"
"32","AIG","Financials"
"46","AIV","Real Estate"
"53","AIZ","Financials"
"52","AJG","Financials"
"14","AKAM","Information Technology"
"16","ALB","Materials"
"19","ALGN","Health Care"
"15","ALK","Industrials"
"22","ALL","Financials"
"20","ALLE","Industrials"
"18","ALXN","Health Care"
"48","AMAT","Information Technology"
"27","AMCR","Materials"
"8","AMD","Information Technology"
"37","AME","Industrials"
"38","AMGN","Health Care"
"35","AMP","Financials"
"33","AMT","Real Estate"
"26","AMZN","Consumer Discretionary"
"51","ANET","Information Technology"
"41","ANSS","Information Technology"
"42","ANTM","Health Care"
"43","AON","Financials"
"44","AOS","Industrials"
"45","APA","Energy"
"13","APD","Materials"
"39","APH","Information Technology"
"49","APTV","Consumer Discretionary"
"17","ARE","Real Estate"
"55","ATO","Utilities"
"6","ATVI","Communication Services"
"59","AVB","Real Estate"
"78","AVGO","Information Technology"
"60","AVY","Materials"
"34","AWK","Utilities"
"31","AXP","Financials"
"58","AZO","Consumer Discretionary"
"72","BA","Industrials"
"63","BAC","Financials"
"65","BAX","Health Care"
"68","BBY","Consumer Discretionary"
"66","BDX","Health Care"
"206","BEN","Financials"
"80","BF.B","Consumer Staples"
"70","BIIB","Health Care"
"69","BIO","Health Care"
"64","BK","Financials"
"73","BKNG","Consumer Discretionary"
"61","BKR","Energy"
"71","BLK","Financials"
"62","BLL","Materials"
"77","BMY","Health Care"
"79","BR","Information Technology"
"67","BRK.B","Financials"
"76","BSX","Health Care"
"74","BWA","Consumer Discretionary"
"75","BXP","Real Estate"
"110","C","Financials"
"121","CAG","Consumer Staples"
"86","CAH","Health Care"
"89","CARR","Industrials"
"90","CAT","Industrials"
"104","CB","Financials"
"91","CBOE","Financials"
"92","CBRE","Real Estate"
"132","CCI","Real Estate"
"88","CCL","Consumer Discretionary"
"83","CDNS","Information Technology"
"93","CDW","Information Technology"
"94","CE","Materials"
"98","CERN","Health Care"
"99","CF","Materials"
"111","CFG","Financials"
"105","CHD","Consumer Staples"
"81","CHRW","Industrials"
"101","CHTR","Communication Services"
"106","CI","Health Care"
"107","CINF","Financials"
"118","CL","Consumer Staples"
"113","CLX","Consumer Staples"
"120","CMA","Financials"
"119","CMCSA","Communication Services"
"114","CME","Financials"
"103","CMG","Consumer Discretionary"
"134","CMI","Industrials"
"115","CMS","Utilities"
"95","CNC","Health Care"
"96","CNP","Utilities"
"85","COF","Financials"
"82","COG","Energy"
"126","COO","Health Care"
"123","COP","Energy"
"130","COST","Consumer Staples"
"131","COTY","Consumer Staples"
"84","CPB","Consumer Staples"
"127","CPRT","Industrials"
"409","CRM","Information Technology"
"109","CSCO","Information Technology"
"133","CSX","Industrials"
"108","CTAS","Industrials"
"97","CTL","Communication Services"
"117","CTSH","Information Technology"
"129","CTVA","Materials"
"112","CTXS","Information Technology"
"135","CVS","Health Care"
"102","CVX","Energy"
"122","CXO","Energy"
"153","D","Utilities"
"141","DAL","Industrials"
"160","DD","Materials"
"140","DE","Industrials"
"147","DFS","Financials"
"151","DG","Consumer Discretionary"
"392","DGX","Health Care"
"136","DHI","Consumer Discretionary"
"137","DHR","Health Care"
"482","DIS","Communication Services"
"148","DISCA","Communication Services"
"149","DISCK","Communication Services"
"150","DISH","Communication Services"
"146","DLR","Real Estate"
"152","DLTR","Consumer Discretionary"
"155","DOV","Industrials"
"156","DOW","Materials"
"154","DPZ","Consumer Discretionary"
"159","DRE","Real Estate"
"138","DRI","Consumer Discretionary"
"157","DTE","Utilities"
"158","DUK","Utilities"
"139","DVA","Health Care"
"143","DVN","Energy"
"161","DXC","Information Technology"
"144","DXCM","Health Care"
"169","EA","Communication Services"
"165","EBAY","Consumer Discretionary"
"166","ECL","Materials"
"124","ED","Utilities"
"173","EFX","Industrials"
"167","EIX","Utilities"
"177","EL","Consumer Staples"
"163","EMN","Materials"
"170","EMR","Industrials"
"172","EOG","Energy"
"174","EQIX","Real Estate"
"175","EQR","Real Estate"
"179","ES","Utilities"
"176","ESS","Real Estate"
"162","ETFC","Financials"
"164","ETN","Industrials"
"171","ETR","Utilities"
"178","EVRG","Utilities"
"168","EW","Health Care"
"181","EXC","Utilities"
"183","EXPD","Industrials"
"182","EXPE","Consumer Discretionary"
"184","EXR","Real Estate"
"200","F","Consumer Discretionary"
"145","FANG","Energy"
"188","FAST","Industrials"
"187","FB","Communication Services"
"203","FBHS","Industrials"
"207","FCX","Materials"
"190","FDX","Industrials"
"193","FE","Utilities"
"186","FFIV","Information Technology"
"191","FIS","Information Technology"
"195","FISV","Information Technology"
"192","FITB","Financials"
"197","FLIR","Information Technology"
"198","FLS","Industrials"
"196","FLT","Information Technology"
"199","FMC","Materials"
"205","FOX","Communication Services"
"204","FOXA","Communication Services"
"194","FRC","Financials"
"189","FRT","Real Estate"
"438","FTI","Energy"
"201","FTNT","Information Technology"
"202","FTV","Industrials"
"211","GD","Industrials"
"212","GE","Industrials"
"216","GILD","Health Care"
"213","GIS","Consumer Staples"
"217","GL","Financials"
"128","GLW","Information Technology"
"214","GM","Consumer Discretionary"
"24","GOOG","Communication Services"
"23","GOOGL","Communication Services"
"215","GPC","Consumer Discretionary"
"218","GPN","Information Technology"
"208","GPS","Consumer Discretionary"
"209","GRMN","Consumer Discretionary"
"219","GS","Financials"
"220","GWW","Industrials"
"222","HAL","Energy"
"225","HAS","Consumer Discretionary"
"242","HBAN","Financials"
"223","HBI","Consumer Discretionary"
"226","HCA","Health Care"
"235","HD","Consumer Discretionary"
"230","HES","Energy"
"233","HFC","Energy"
"224","HIG","Financials"
"243","HII","Industrials"
"232","HLT","Consumer Discretionary"
"234","HOLX","Health Care"
"236","HON","Industrials"
"231","HPE","Information Technology"
"240","HPQ","Information Technology"
"221","HRB","Consumer Discretionary"
"237","HRL","Consumer Staples"
"228","HSIC","Health Care"
"238","HST","Real Estate"
"229","HSY","Consumer Staples"
"241","HUM","Health Care"
"239","HWM","Industrials"
"253","IBM","Information Technology"
"252","ICE","Financials"
"245","IDXX","Health Care"
"244","IEX","Industrials"
"256","IFF","Materials"
"248","ILMN","Health Care"
"249","INCY","Health Care"
"246","INFO","Industrials"
"251","INTC","Information Technology"
"257","INTU","Information Technology"
"254","IP","Materials"
"255","IPG","Communication Services"
"260","IPGP","Information Technology"
"261","IQV","Health Care"
"250","IR","Industrials"
"262","IRM","Real Estate"
"258","ISRG","Health Care"
"210","IT","Information Technology"
"247","ITW","Industrials"
"259","IVZ","Financials"
"264","J","Industrials"
"265","JBHT","Industrials"
"268","JCI","Industrials"
"263","JKHY","Information Technology"
"267","JNJ","Health Care"
"270","JNPR","Information Technology"
"269","JPM","Financials"
"272","K","Consumer Staples"
"273","KEY","Financials"
"274","KEYS","Information Technology"
"280","KHC","Consumer Staples"
"276","KIM","Real Estate"
"278","KLAC","Information Technology"
"275","KMB","Consumer Staples"
"277","KMI","Energy"
"87","KMX","Consumer Discretionary"
"116","KO","Consumer Staples"
"281","KR","Consumer Staples"
"279","KSS","Consumer Discretionary"
"271","KSU","Industrials"
"297","L","Financials"
"282","LB","Consumer Discretionary"
"289","LDOS","Information Technology"
"288","LEG","Consumer Discretionary"
"290","LEN","Consumer Discretionary"
"284","LH","Health Care"
"283","LHX","Industrials"
"293","LIN","Materials"
"295","LKQ","Consumer Discretionary"
"291","LLY","Health Care"
"296","LMT","Industrials"
"292","LNC","Financials"
"21","LNT","Utilities"
"298","LOW","Consumer Discretionary"
"285","LRCX","Information Technology"
"422","LUV","Industrials"
"287","LVS","Consumer Discretionary"
"286","LW","Consumer Staples"
"299","LYB","Materials"
"294","LYV","Communication Services"
"308","MA","Information Technology"
"321","MAA","Real Estate"
"304","MAR","Consumer Discretionary"
"307","MAS","Industrials"
"311","MCD","Consumer Discretionary"
"318","MCHP","Information Technology"
"312","MCK","Health Care"
"326","MCO","Financials"
"324","MDLZ","Consumer Staples"
"313","MDT","Health Care"
"315","MET","Financials"
"317","MGM","Consumer Discretionary"
"322","MHK","Consumer Discretionary"
"309","MKC","Consumer Staples"
"303","MKTX","Financials"
"306","MLM","Materials"
"305","MMC","Financials"
"1","MMM","Industrials"
"325","MNST","Consumer Staples"
"25","MO","Consumer Staples"
"328","MOS","Materials"
"302","MPC","Energy"
"314","MRK","Health Care"
"301","MRO","Energy"
"327","MS","Financials"
"330","MSCI","Financials"
"320","MSFT","Information Technology"
"329","MSI","Information Technology"
"300","MTB","Financials"
"316","MTD","Health Care"
"319","MU","Information Technology"
"310","MXIM","Information Technology"
"331","MYL","Health Care"
